Region,Subregion 1,Subregion 2,Lat,Lon
Espoo,049 1 Suur-Leppävaara,049 11 Kanta-Leppävaara,60.2151,24.8092
Espoo,049 2 Suur-Tapiola,049 21 Kanta-Tapiola,60.1775,24.8131
Espoo,049 3 Suur-Matinkylä,049 31 Matinkylä,60.1627,24.7528
Espoo,049 4 Suur-Espoonlahti,049 41 Kanta-Espoonlahti,60.176,24.6458
Espoo,049 5 Suur-Kauklahti,049 51 Kanta-Kauklahti,60.1866,24.5896
Espoo,049 6 Vanha-Espoo,049 61 Kanta-Espoo,60.2016,24.6627
Espoo,049 7 Pohjois-Espoo,049 71 Vanhakartano-Röylä,60.2924,24.5316
Helsinki,1 Eteläinen suurpiiri ,  101 Vironniemi ,60.1681,24.9306
Helsinki,2 Läntinen suurpiiri ,  201 Reijola ,60.1946,24.8774
Helsinki,3 Keskinen suurpiiri ,  301 Kallio ,60.1834,24.9506
Helsinki,4 Pohjoinen suurpiiri ,  401 Maunula ,60.2325,24.9178
Helsinki,5 Koillinen suurpiiri ,  501 Latokartano ,60.2353,25.0812
Helsinki,6 Kaakkoinen suurpiiri ,  601 Kulosaari ,60.1867,25.0002
Helsinki,7 Itäinen suurpiiri ,  701 Vartiokylä ,60.224,25.0537
Helsinki,8 Östersundomin suurpiiri ,  801 Östersundom ,60.2144,25.1667